Country,Year,GERD,RW1,RW2,RW3,AR1,AR2,AR3,HistMean,MIDAS,UMIDAS,NN_AGT,NN_AGTwRD,NN_AllVar,NN_LagRD,NN_MGT,NN_MGTwRD,NN_Macros,SGL
CA,2019,30.6966255814402,29.8951052866978,28.2281296753994,27.7556378583315,29.715868513977487,28.415517047836552,28.21083121514817,27.43196441608548,27.00135409425948,27.075111558172605,30.89610906528368,30.714832091182284,30.80292946945448,27.370551655931706,30.904900495818293,30.701710226310748,28.562488814981023,27.342738712929787
CA,2020,31.111028153459,30.6966255814402,29.8951052866978,28.2281296753994,30.37746077790229,29.56751784582714,28.48667845643168,27.43196441608548,26.42927045296121,25.82893259622306,30.91345198457566,30.68335887027733,30.92542478738568,27.396252743156627,30.923678795237958,30.59858082191755,27.83416591342747,28.211781032543136
CA,2021,30.4771553950946,31.111028153459,30.6966255814402,29.8951052866978,30.71837806100525,30.114366661693307,29.44461744098621,27.43196441608548,27.54170894650126,27.775546861081,30.265001280424148,30.136129332800948,30.020964773251734,27.41692656742758,30.17670911246151,30.106166821605907,27.17163544680862,29.786441790643845
CA,2022,28.5643588273563,30.4771553950946,31.111028153459,30.6966255814402,30.19659656293627,30.39537504302212,29.897144048217005,27.43196441608548,26.75364052360152,28.34152978033888,30.098113493979017,30.024414539667543,30.135526749359485,27.41027311630198,29.614943193781446,29.464462963667,28.668649346148694,27.376289005226173
CH,2019,18.5729256553376,17.1948756219555,17.1948756219555,16.6398934235238,18.039405180159235,18.688313659103198,18.931157143095337,14.55098704396572,13.762708904397604,14.020555420351975,17.322089570673203,17.565971714920963,17.99687085359746,16.83775234983147,17.419955433820125,17.37697888096282,18.363510390430076,19.448819534910584
CN,2016,399.390155103394,366.08093214709305,336.250720890688,309.205058612812,403.5122089185783,410.12456518670217,418.670008481827,205.47092168652117,98.6356954253932,76.45859320770097,274.0348228736074,289.18678809039415,285.56273313957746,383.91964243691973,238.25554329096417,277.6142033072882,357.6698722402641,312.3259577861326
CN,2017,430.329703329414,399.390155103394,366.08093214709305,336.250720890688,438.0263777641624,442.2857446220589,449.11315259077406,205.47092168652117,116.25102286332348,123.30586840942463,273.54225254942287,308.5182034723847,299.33415649521385,400.9999594083463,224.06538994220128,321.43643601265325,366.6161831620679,260.0509804156538
CN,2018,464.70523869315895,430.329703329414,399.390155103394,366.08093214709305,469.93662459208826,477.85390304726906,482.2319035877678,205.47092168652117,103.29572412475942,97.76261029074674,291.7680974674699,367.36742420172163,358.03116053151507,419.75489937577095,279.52949486762765,386.539554038553,356.53815846773006,577.3069707745825
DE,2019,131.96943394897,128.21182225802602,124.393853613863,116.904240781414,132.294670660167,132.45758087167724,128.5235713144557,102.55261355716829,101.57602212803258,100.40706640619962,126.14632621680339,126.54458295129531,132.01172573374203,114.4925667533807,130.21095158861934,128.79506217101888,119.77447875244839,91.69993073664348
DE,2020,125.566643621924,131.96943394897,128.21182225802602,124.393853613863,136.15652923654403,136.490768504706,136.65818686246098,102.55261355716829,102.83911362096644,94.46424037997213,128.97516341037098,128.99040805002082,135.96111687830495,114.9134995357726,132.07262747887683,129.66438042027238,121.29597969959235,102.6240907556843
DE,2021,129.005315240608,125.566643621924,131.96943394897,128.21182225802602,129.5758419463953,140.45927945459147,140.80272843888997,102.55261355716829,107.97442007252565,116.42036372927448,119.22604881136402,119.67161873772034,125.55140892685567,115.07947928689049,118.61221455916915,119.70912655357786,118.48614663692076,93.24121145877628
GB,2018,79.8627681757809,67.444899012621,65.503087410017,62.9728145001246,70.12036038100575,70.82950979845872,70.88820710576755,47.24709924424305,50.565360803141154,49.46621985179456,62.87669415884363,61.43233685332171,63.140568598587116,46.932174059659324,63.258526104807395,62.13024114955712,51.41160016507151,62.55162326194171
GB,2019,79.96404528048039,79.8627681757809,67.444899012621,65.503087410017,82.75437012738767,72.8460063507347,73.56811022748687,47.24709924424305,44.51731485852186,44.49325782825332,64.69667091443812,62.89149994531605,64.75417548809324,47.442010758245196,64.08999561716114,63.49579113918582,53.44778247565571,57.69605229452769
GB,2020,78.153305627187,79.96404528048039,79.8627681757809,67.444899012621,82.85724183164614,85.6905001608699,75.6206685340385,47.24709924424305,43.60625472758731,39.94336083228213,57.62368726568357,56.26558489859835,59.94122539595784,47.51157572601252,56.35868401431378,56.31572994804745,54.78117065454642,43.88338930981368
JP,2019,171.84093590987402,172.58621093761602,168.66818635248703,162.76126018587402,169.15239903042,166.27255741501196,164.94868304025812,161.9298001216766,157.4794202386603,156.60998293255406,179.9764797061898,179.43005588432507,182.35867200286054,168.5464507872788,181.01524158504637,181.67627144423057,166.26478592649804,161.7663546132908
JP,2020,167.081614070721,171.84093590987402,172.58621093761602,168.66818635248703,168.76371944259077,167.35497448166151,165.83430423207568,161.9298001216766,154.87560162965636,152.22656878422262,183.24547543239257,182.72676615545734,184.811507445393,166.0589555017843,182.64570550638112,182.44304161758205,167.23760892098483,162.3079666781943
JP,2021,172.06248877654502,167.081614070721,171.84093590987402,172.58621093761602,166.26275588994946,167.15044813097995,166.40729945357728,161.9298001216766,156.55592970562066,156.64797948366092,182.13953410023484,182.20947933060344,185.49896376321223,161.4227425989224,182.2609237705996,183.30932364542718,159.44150134378432,172.56762349238127
KR,2019,99.970920846719,95.4376659429012,88.135828288658,79.3647471271804,100.72325609538264,98.63638053968172,94.91848217261652,61.073376200809705,63.71066178745372,67.3148483245101,86.7888352100206,86.61435512324323,90.41469890422219,80.2243328659149,89.2769936525056,91.77382069753848,84.81090200049674,67.46181944399672
KR,2020,102.88045893911,99.970920846719,95.4376659429012,88.135828288658,105.2786198641875,106.03367708009014,103.93859527735894,61.073376200809705,60.23219052431427,57.031432038167246,88.47985871597825,85.84257153446447,84.52773687710457,81.04210026412116,81.63132482984601,86.08163050496142,84.22157322293022,45.40628711309067
