Country,True,Forecast
CA,0.0277919793024325,0.0267486894277914
CA,0.0270046979120185,0.026565435577411103
CA,0.0277556378583315,0.026435650080306246
CA,0.028228129675399397,0.026343732364941475
CA,0.0298951052866978,0.02627863367066246
CA,0.0306966255814402,0.026232528956462206
CA,0.031111028153458998,0.02619987630966139
CA,0.030477155395094598,0.02617675079285485
CA,0.0285643588273563,0.026160372655706216
CH,0.016639893423523802,0.0158321565881345
CH,0.0171948756219555,0.016650800862315466
CH,0.0185729256553376,0.0172290274618971
CN,0.309205058612812,0.31061717900777275
CN,0.336250720890688,0.3451256492809703
CN,0.366080932147093,0.37819889082888963
CN,0.39939015510339404,0.4098965957061932
CN,0.430329703329414,0.44027597333789203
CN,0.464705238693159,0.46939185377345605
DE,0.10632326115924799,0.10937054891798093
DE,0.110276326391374,0.1103655362963123
DE,0.114097563573046,0.11091376468925658
DE,0.11690424078141401,0.11121583321532603
DE,0.124393853613863,0.1113822700427799
DE,0.12821182225802602,0.11147397512007927
DE,0.13196943394896998,0.11152450372802702
DE,0.125566643621924,0.11155234450082091
DE,0.12900531524060802,0.11156768449654299
GB,0.042527477370353,0.04022329683824505
GB,0.0613446297023717,0.04007618572585488
GB,0.0629728145001246,0.040024034204595986
GB,0.06550308741001701,0.04000554626629256
GB,0.06744489901262099,0.039998992212748954
GB,0.0798627681757809,0.03999666877261478
GB,0.07996404528048039,0.03999584510310686
GB,0.07815330562718699,0.039995553108728224
JP,0.167387098458661,0.15918080240009894
JP,0.172435579472777,0.1593896865761802
JP,0.168514031992379,0.15951387963354371
JP,0.16276126018587403,0.15958771919279927
JP,0.16866818635248704,0.15963162084581273
JP,0.172586210937616,0.15965772277757864
JP,0.171840935909874,0.15967324180237946
JP,0.167081614070721,0.15968246871067607
JP,0.17206248877654504,0.15968795461187196
KR,0.07692204037023,0.08101469243416773
KR,0.07936474712718039,0.08499595793670042
KR,0.088135828288658,0.08866506315672468
KR,0.0954376659429012,0.09204648373946278
KR,0.09997092084671899,0.09516277626085559
KR,0.10288045893911,0.09803472869660526
KR,0.110148077363916,0.10068149909334645
US,0.46827722417165,0.454299549560665
US,0.481775482622067,0.4539148832798814
US,0.507401,0.45363079740989487
US,0.5281717009030571,0.4534209927413869
US,0.54963096952664,0.45326604663678194
US,0.5864273457520081,0.453151614982315
US,0.631845452979094,0.4530671042837245
US,0.671963268047983,0.4530046909750161
US,0.709712900312341,0.4529585971529451
