Country,Feature,Elasticity
CA,Businesses_R&D expenditure_mean_YTD,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CA,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CA,Businesses_product development_mean_YTD,0.0
CA,Businesses_product development_yearly_avg_lag1,0.0
CA,Businesses_product development_yearly_avg_lag2,0.0
CA,Businesses_product development_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation management_mean_YTD,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CA,Consulting Firms_innovation strategy_mean_YTD,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag1,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag2,0.0
CA,Consulting Firms_innovation strategy_yearly_avg_lag3,0.0
CA,Government agencies_government grants_mean_YTD,-0.0006309130627121176
CA,Government agencies_government grants_yearly_avg_lag1,8.545243374629213e-05
CA,Government agencies_government grants_yearly_avg_lag2,3.318263336569221e-05
CA,Government agencies_government grants_yearly_avg_lag3,0.0001236558665808726
CA,Government agencies_research funding_mean_YTD,-0.0006407545970550047
CA,Government agencies_research funding_yearly_avg_lag1,0.00037313621850766903
CA,Government agencies_research funding_yearly_avg_lag2,0.0003778354171851289
CA,Government agencies_research funding_yearly_avg_lag3,0.0004379874916799787
CA,Innovation Hubs_startup incubation_mean_YTD,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag1,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag2,0.0
CA,Innovation Hubs_startup incubation_yearly_avg_lag3,0.0
CA,Innovation Hubs_technology park_mean_YTD,-0.00025033355942146194
CA,Innovation Hubs_technology park_yearly_avg_lag1,5.9165352966726546e-05
CA,Innovation Hubs_technology park_yearly_avg_lag2,6.614557853261489e-05
CA,Innovation Hubs_technology park_yearly_avg_lag3,8.166642895253796e-05
CA,Month,-0.0006519205347778493
CA,Patent Attorneys_patent attorney_mean_YTD,-0.0001257797795856717
CA,Patent Attorneys_patent attorney_yearly_avg_lag1,5.91052571948122e-05
CA,Patent Attorneys_patent attorney_yearly_avg_lag2,5.634566542510349e-05
CA,Patent Attorneys_patent attorney_yearly_avg_lag3,5.4777600375781467e-05
CA,Patent Attorneys_patent registration_mean_YTD,-5.5187476351831365e-05
CA,Patent Attorneys_patent registration_yearly_avg_lag1,9.349785498436118e-05
CA,Patent Attorneys_patent registration_yearly_avg_lag2,9.089560703027781e-05
CA,Patent Attorneys_patent registration_yearly_avg_lag3,0.00010156111896527188
CA,R&D Employees_R&D jobs_mean_YTD,-7.123306655675181e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag1,3.671792507937484e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag2,2.9183451216897906e-05
CA,R&D Employees_R&D jobs_yearly_avg_lag3,3.4125993030806235e-05
CA,Research Institutions_collaboration with industry_mean_YTD,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag1,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag2,0.0
CA,Research Institutions_collaboration with industry_yearly_avg_lag3,0.0
CA,Research Institutions_research grant_mean_YTD,0.0
CA,Research Institutions_research grant_yearly_avg_lag1,0.0
CA,Research Institutions_research grant_yearly_avg_lag2,0.0
CA,Research Institutions_research grant_yearly_avg_lag3,0.0
CA,Tax Authorities_R&D tax credit_mean_YTD,-2.5218050840551094e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag1,3.977687181964763e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag2,2.8766422733937243e-05
CA,Tax Authorities_R&D tax credit_yearly_avg_lag3,3.307499795071987e-05
CA,VCs_VC investment_mean_YTD,-9.635245016632383e-06
CA,VCs_VC investment_yearly_avg_lag1,5.795094075438101e-05
CA,VCs_VC investment_yearly_avg_lag2,3.843304633436116e-05
CA,VCs_VC investment_yearly_avg_lag3,2.7317104403693755e-05
CA,VCs_startup funding_mean_YTD,-0.0003159247413526417
CA,VCs_startup funding_yearly_avg_lag1,-1.4357647155667374e-05
CA,VCs_startup funding_yearly_avg_lag2,2.326241087024344e-06
CA,VCs_startup funding_yearly_avg_lag3,2.3488155552660184e-06
CA,Year,0.010383027710861737
CA,export_vol_lag1,8.221410207625013e-05
CA,export_vol_lag2,5.1844170793042246e-05
CA,export_vol_lag3,3.5851925097250065e-05
CA,gdpca_lag1,0.03360855983149621
CA,gdpca_lag2,-0.001177704265113965
CA,gdpca_lag3,-0.025484153646374904
CA,import_vol_lag1,0.00019430221770797349
CA,import_vol_lag2,0.00015624679765477916
CA,import_vol_lag3,0.00012509607147495123
CA,inflation_lag1,0.0009089608318097288
CA,inflation_lag2,0.0008493217014362135
CA,inflation_lag3,0.000809747526129227
CA,population_lag1,0.0009026401049096978
CA,population_lag2,0.0009019013349672839
CA,population_lag3,0.0009028446409971483
CA,rd_expenditure_lag1,0.3927510978714112
CA,rd_expenditure_lag2,0.315258093322477
CA,rd_expenditure_lag3,0.28615437188456133
CA,rd_expenditure_missing_lag1,0.0
CA,rd_expenditure_missing_lag2,0.0
CA,rd_expenditure_missing_lag3,0.0
CA,unemp_rate_lag1,-6.4116583035361295e-06
CA,unemp_rate_lag2,-1.3638357841632716e-05
CA,unemp_rate_lag3,-7.761215937857595e-06
CH,Businesses_R&D expenditure_mean_YTD,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag1,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag2,0.0
CH,Businesses_R&D expenditure_yearly_avg_lag3,0.0
CH,Businesses_product development_mean_YTD,-0.0002678910521873539
CH,Businesses_product development_yearly_avg_lag1,0.0002502687954499076
CH,Businesses_product development_yearly_avg_lag2,0.00021034470271496546
CH,Businesses_product development_yearly_avg_lag3,0.00022390167370239005
CH,Consulting Firms_innovation management_mean_YTD,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag1,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag2,0.0
CH,Consulting Firms_innovation management_yearly_avg_lag3,0.0
CH,Consulting Firms_innovation strategy_mean_YTD,-0.0001400313031765455
CH,Consulting Firms_innovation strategy_yearly_avg_lag1,4.478533134845618e-05
CH,Consulting Firms_innovation strategy_yearly_avg_lag2,5.491215396042597e-05
CH,Consulting Firms_innovation strategy_yearly_avg_lag3,5.964105041909663e-05
CH,Government agencies_government grants_mean_YTD,0.0
CH,Government agencies_government grants_yearly_avg_lag1,0.0
CH,Government agencies_government grants_yearly_avg_lag2,0.0
CH,Government agencies_government grants_yearly_avg_lag3,0.0
CH,Government agencies_research funding_mean_YTD,0.0
CH,Government agencies_research funding_yearly_avg_lag1,0.0
