,mid,type
Research and development,/m/01lr_q,Topic
Expense,/m/01n9ps,Topic
Tax,/m/07g82,Topic
Credit,/m/05p8s2,Topic
Research,/m/06cs1,Organization type
Tax credit,/m/01rqh3,Topic
Research and Development Expenditure Credit,/m/0vplddt,Topic
Capital expenditure,/m/04xxl8,Topic
Company,/g/120z18l3,Organization type
HM Revenue & Customs,/m/02_q0z,Government department
Gross domestic product,/m/039mk,Topic
Business,/g/121jnq1m,Topic
Cost,/m/0168hv,Topic
Research & Experimentation Tax Credit,/m/07s4vgp,Topic
Revenue,/m/01kr9k,Topic
Innovation,/g/1229dkv6,Topic
Government spending,/m/04g_71,Topic
Industry,/m/03rnh,Economics
Tax exemption,/m/03tk8v,Topic
Organisation for Economic Co-operation and Development,/m/018cqq,Topic
Financial capital,/m/0cf7f,Topic
Capitalization,/m/01fl8h,Topic
Pharmaceutical industry,/m/02q3wl,Topic
Capital,/g/1233863h,Economics
Patent,/m/05sq5,Topic
Product,/m/01jwgf,Business
Product development,/m/01fnjy,Topic
Design,/m/02cwm,Topic
Management,/m/04_tv,Field of study
Marketing,/m/0g4gr,Topic
Strategy,/m/07b7r,Topic
Market,/m/09y4pm,Economics
Product design,/m/03y18t,Topic
Software,/m/01mf0,Software grouping
Project,/m/0156dy,Topic
Technology,/m/07c1v,Topic
Market development,/m/0clvlm,Topic
Product life-cycle management,/m/01jws5,Marketing
Team,/m/011l78,Topic
Product Management,/m/01jsnw,Topic
Engineering,/m/02ky346,Discipline
Salary,/m/02w88k,Topic
Ansoff matrix,/m/0114kd7z,Topic
Agile software development,/m/02zhbn,Topic
Funding,/m/03dd26,Film company role or service
Startup company,/m/0h01f,Topic
Grant,/m/06bpsl,Money
Loan,/m/01dnzs,Topic
Government,/m/036nz,Organization type
SFC Capital,/g/11b_03xd_3,Company
Investment,/m/0g_fl,Topic
Small business,/m/01pdc4,Organization type
Venture capital,/m/01m2bt,Topic
Seed money,/m/02g2hm,Securities offering
Crowdfunding,/m/05ztt99,Organization type
Funding Circle,/m/0gjb6j1,Commercial banking company
Investor,/m/025sppp,Topic
Finance,/m/02_7t,Discipline
Business loan,/g/11bc8lgh_8,Topic
Website,/m/085n4,Topic
Money,/m/04_x4,Topic
Angel investor,/m/03m3ym9,Topic
crunchbase,/m/0cc6_7b,Topic
Equity,/m/0hz8s,Finance
Investment fund,/m/08nwn8,Topic
Private equity,/m/01b4x4,Topic
Investment banking,/m/015p1m,Topic
Investment company,/m/078jxd,Organization type
Valuation,/m/01yv7p,Finance
Investment management,/m/05b6l8,Topic
Fintech,/m/012c1cfr,Topic
Europe,/m/02j9z,Continent
LinkedIn,/m/03vgrr,Website
University,/m/07tf8,School category
