topic,elasticity
Budget,0.0006423104616294075
Business,-0.002697161938060666
Business_loan,0.04306407769456933
Business_model,0.008475178396112584
Capitalization,0.024227229371850827
Career,-0.02028917400742104
Collaboration,-0.0023653511042322473
Cost,-0.004503482252956041
Credit,0.010561746017540624
Data,-0.0005693129894672142
Disease,0.005709213267851139
Economy,-0.012745285111937692
Education,-0.020848817746046275
Employment,0.011135862571900303
Energy,-0.0006764936762334485
Entrepreneurship,-0.007054567868199239
Expense,-0.0003852608121612533
Health,0.0
Income,-0.009947736635617798
Income_statement,0.009351703738932527
Innovation,0.00525750386262717
Innovation_management,0.01255780537017747
Invention,0.007387844262276291
Investment,-0.0151990798016851
Investment_banking,-0.002931607329776327
Investment_fund,-0.00854458580809346
Investment_management,-0.012750540378535772
Investor,-0.0038354398017975207
Job,-0.0001411122136434848
Laboratory,-0.005960039092315829
Law,0.003665663339964953
Law_firm,-0.0171210059857923
Loan,0.0007889592493020911
Manufacturing,-0.009181834541469537
Medicine,-0.005032353144359529
Patent,-0.0027099319792002045
Patent_application,0.015492125813044258
Patent_infringement,0.02473217167031501
Patent_office,-0.013237633568547083
Research_&_Experimentation_Tax_Credit,0.04095078554821247
Research_and_Development_Tax_Credit,-0.0029878207391549664
Salary,0.021641611614756435
Scholarship,-0.003122096994870227
Semiconductor,0.0014915075772610937
Small_Business_Innovation_Research,0.02316409141149943
Stock,0.005799365537702817
Subsidy,0.06004170593005354
Sustainability,-0.012704878427373922
Tax,0.011075398625611785
Tax_credit,-0.011316872005198564
Tax_deduction,-0.004876390100686839
Tax_incentive,0.004914103270853849
Tax_report,-0.006219199958996779
Technology,-0.008012025941957922
Trademark,-0.006885254929961269
Trademark_attorney,0.043060541224630496
Wage,0.009596968411585355
