draw,delta,topic,elasticity
1,0.0028267765067750096,Budget,0.0006457022518159779
1,0.0028267765067750096,Business,-0.0026939290422845472
1,0.0028267765067750096,Business_loan,0.04306756549987278
1,0.0028267765067750096,Business_model,0.008478493404136542
1,0.0028267765067750096,Capitalization,0.024230271746269946
1,0.0028267765067750096,Career,-0.020285940623877136
1,0.0028267765067750096,Collaboration,-0.0023622114383432353
1,0.0028267765067750096,Cost,-0.004500050420163014
1,0.0028267765067750096,Credit,0.010565180989594754
1,0.0028267765067750096,Data,-0.0005659867716407049
1,0.0028267765067750096,Disease,0.0057125604133254305
1,0.0028267765067750096,Economy,-0.01274212918860656
1,0.0028267765067750096,Education,-0.020845057406141426
1,0.0028267765067750096,Employment,0.011139222885360905
1,0.0028267765067750096,Energy,-0.0006729597547227162
1,0.0028267765067750096,Entrepreneurship,-0.007051329209780829
1,0.0028267765067750096,Expense,-0.00038191121116740455
1,0.0028267765067750096,Health,3.6469368877136387e-06
1,0.0028267765067750096,Income,-0.009944505909099304
1,0.0028267765067750096,Income_statement,0.009354679402560372
1,0.0028267765067750096,Innovation,0.005260641721811719
1,0.0028267765067750096,Innovation_management,0.012560796264811228
1,0.0028267765067750096,Invention,0.007391249756062967
1,0.0028267765067750096,Investment,-0.015195782745074759
1,0.0028267765067750096,Investment_banking,-0.002928244392951232
1,0.0028267765067750096,Investment_fund,-0.008541272270742079
1,0.0028267765067750096,Investment_management,-0.012747678949086974
1,0.0028267765067750096,Investor,-0.0038320797048748533
1,0.0028267765067750096,Job,-0.00013766415001949828
1,0.0028267765067750096,Laboratory,-0.0059569992661439594
1,0.0028267765067750096,Law,0.003668575213081733
1,0.0028267765067750096,Law_firm,-0.017118396706679872
1,0.0028267765067750096,Loan,0.0007920807499083108
1,0.0028267765067750096,Manufacturing,-0.009178510736329479
1,0.0028267765067750096,Medicine,-0.0050291168055872785
1,0.0028267765067750096,Patent,-0.0027066799546116116
1,0.0028267765067750096,Patent_application,0.015494984116804658
1,0.0028267765067750096,Patent_infringement,0.024734883014668776
1,0.0028267765067750096,Patent_office,-0.013234044170421283
1,0.0028267765067750096,Research_&_Experimentation_Tax_Credit,0.040953592610051104
1,0.0028267765067750096,Research_and_Development_Tax_Credit,-0.0029847081515791563
1,0.0028267765067750096,Salary,0.021645186197560732
1,0.0028267765067750096,Scholarship,-0.003118398782424748
1,0.0028267765067750096,Semiconductor,0.0014949281589449529
1,0.0028267765067750096,Small_Business_Innovation_Research,0.023167073054421988
1,0.0028267765067750096,Stock,0.005802364082741229
1,0.0028267765067750096,Subsidy,0.0600454799249042
