topic,elasticity,abs_elasticity
Budget,0.00064316631636705,0.00064316631636705
Business,-0.002696202792071955,0.002696202792071955
Business_loan,0.043064868853762824,0.043064868853762824
Business_model,0.008476064246480204,0.008476064246480204
Capitalization,0.02422819142346735,0.02422819142346735
Career,-0.0202882456029314,0.0202882456029314
Collaboration,-0.002364540663791314,0.002364540663791314
Cost,-0.004502627869552328,0.004502627869552328
Credit,0.010562686147974851,0.010562686147974851
Data,-0.0005682513205349434,0.0005682513205349434
Disease,0.00571009000611382,0.00571009000611382
Economy,-0.012744491838620283,0.012744491838620283
Education,-0.020847889403733156,0.020847889403733156
Employment,0.011136736397636654,0.011136736397636654
Energy,-0.0006755952523970916,0.0006755952523970916
Entrepreneurship,-0.00705368267223398,0.00705368267223398
Expense,-0.0003844140428443394,0.0003844140428443394
Health,1.0309075771938634e-06,1.0309075771938634e-06
Income,-0.009946787484411225,0.009946787484411225
Income_statement,0.009352423056090423,0.009352423056090423
Innovation,0.005258446635652285,0.005258446635652285
Innovation_management,0.012558610982501639,0.012558610982501639
Invention,0.007388843708743151,0.007388843708743151
Investment,-0.015198175539851026,0.015198175539851026
Investment_banking,-0.0029307444385313058,0.0029307444385313058
Investment_fund,-0.008543728538764462,0.008543728538764462
Investment_management,-0.012749592091905473,0.012749592091905473
Investor,-0.0038344565267165206,0.0038344565267165206
Job,-0.00014016759227010746,0.00014016759227010746
Laboratory,-0.005959182383464274,0.005959182383464274
Law,0.0036666114946438664,0.0036666114946438664
Law_firm,-0.017120076239941162,0.017120076239941162
Loan,0.0007898979496597623,0.0007898979496597623
Manufacturing,-0.009180979769999067,0.009180979769999067
Medicine,-0.005031393565287266,0.005031393565287266
Patent,-0.00270894411553603,0.00270894411553603
Patent_application,0.015493025735297592,0.015493025735297592
Patent_infringement,0.02473306951624174,0.02473306951624174
Patent_office,-0.0132366803988306,0.0132366803988306
Research_&_Experimentation_Tax_Credit,0.04095169485061443,0.04095169485061443
Research_and_Development_Tax_Credit,-0.0029869351897064233,0.0029869351897064233
Salary,0.0216424728633321,0.0216424728633321
Scholarship,-0.0031210531706008563,0.0031210531706008563
Semiconductor,0.0014925201275431206,0.0014925201275431206
Small_Business_Innovation_Research,0.023165000267302505,0.023165000267302505
Stock,0.0058002577861367465,0.0058002577861367465
Subsidy,0.06004256867037585,0.06004256867037585
Sustainability,-0.012703944255969754,0.012703944255969754
Tax,0.011076280121267804,0.011076280121267804
Tax_credit,-0.011315963616057849,0.011315963616057849
Tax_deduction,-0.0048756089199004276,0.0048756089199004276
Tax_incentive,0.004915070123504996,0.004915070123504996
Tax_report,-0.006218095469736901,0.006218095469736901
Technology,-0.008011165300900198,0.008011165300900198
Trademark,-0.006884287816589107,0.006884287816589107
Trademark_attorney,0.0430614387746008,0.0430614387746008
Wage,0.009597894308265362,0.009597894308265362
