Model,topic,elasticity
OLS,Budget,-0.03458393546368146
OLS,Business,-0.0028140108916480063
OLS,Business_loan,0.07454862942851466
OLS,Business_model,-0.011462959659033121
OLS,Capitalization,0.04814770502822798
OLS,Career,0.014632950647966653
OLS,Collaboration,0.02397019349150989
OLS,Cost,-0.009094893725343037
OLS,Credit,0.02059242983170601
OLS,Data,0.03552667855017535
OLS,Disease,0.02045460994532535
OLS,Economy,-0.016472063199075418
OLS,Education,-0.02900277660481908
OLS,Employment,0.029068872568280946
OLS,Energy,0.026380016269113894
OLS,Entrepreneurship,-0.023605257980505407
OLS,Expense,-0.027520527552987655
OLS,Health,1.6611222261136265e-15
OLS,Income,-0.0020250395488702545
OLS,Income_statement,-0.00510658621384671
OLS,Innovation,0.006835544171485405
OLS,Innovation_management,0.01776407925649225
OLS,Invention,0.024002042232831828
OLS,Investment,-0.003065134494134196
OLS,Investment_banking,-0.032249181214226055
OLS,Investment_fund,0.0015552496155036809
OLS,Investment_management,-0.029668446276457646
OLS,Investor,-0.05460813717713825
OLS,Job,-0.0473444307487069
OLS,Laboratory,0.015905784356174926
OLS,Law,-0.051561979492478656
OLS,Law_firm,-0.05282919470234379
OLS,Loan,-0.007627507021871149
OLS,Manufacturing,0.012186080132053237
OLS,Medicine,0.012011391977337532
OLS,Patent,0.11301588376634693
OLS,Patent_application,0.03428494932776738
OLS,Patent_infringement,-0.018972524782061875
OLS,Patent_office,-0.03814780162737098
OLS,Research_&_Experimentation_Tax_Credit,-0.013903872837493192
OLS,Research_and_Development_Tax_Credit,-0.005826023399224432
OLS,Salary,0.028315789706808887
OLS,Scholarship,0.07246340541666987
OLS,Semiconductor,0.014568195686878095
OLS,Small_Business_Innovation_Research,-0.044306406864779546
OLS,Stock,0.0033693497987864803
OLS,Subsidy,0.031152383928418338
OLS,Sustainability,-0.00023873826069821755
OLS,Tax,0.017193527495425645
OLS,Tax_credit,-0.004651328791531922
OLS,Tax_deduction,-0.01872689997054244
OLS,Tax_incentive,0.022845135627336147
OLS,Tax_report,-0.019956731236338086
OLS,Technology,-0.051248681691994945
OLS,Trademark,0.013924403965015687
OLS,Trademark_attorney,0.010126972509653723
OLS,Wage,-0.03931135532571734
Ridge,Budget,-0.021230019424330494
Ridge,Business,0.00035425314940404004
Ridge,Business_loan,0.056201599216405385
Ridge,Business_model,-0.004701026442515302
Ridge,Capitalization,0.045304425308714334
Ridge,Career,0.00789196913018829
Ridge,Collaboration,0.0048292283215616875
Ridge,Cost,-0.0043208175853037675
Ridge,Credit,0.014241207262483424
Ridge,Data,0.010439206916253241
Ridge,Disease,0.023325377422841135
Ridge,Economy,-0.022939953456783374
Ridge,Education,-0.020879150862795192
Ridge,Employment,0.011132270978524178
Ridge,Energy,0.01855156958761396
Ridge,Entrepreneurship,-0.013360445011735696
Ridge,Expense,-0.014777677163808687
Ridge,Health,6.204263653672345e-15
Ridge,Income,0.0001551355682075442
Ridge,Income_statement,0.0014042260981554679
Ridge,Innovation,0.017969170940178997
Ridge,Innovation_management,0.01093650179391824
Ridge,Invention,0.013090450422753133
Ridge,Investment,-0.022787639736597337
Ridge,Investment_banking,-0.023862014307784632
Ridge,Investment_fund,-0.009556059364231878
Ridge,Investment_management,-0.0312344534802443
Ridge,Investor,-0.029441325622842057
Ridge,Job,-0.035436994610347716
Ridge,Laboratory,0.027379416887299998
Ridge,Law,-0.018339020590388496
Ridge,Law_firm,-0.03140979360576846
Ridge,Loan,-0.002133346026474376
Ridge,Manufacturing,0.003095449195162905
Ridge,Medicine,0.0023087845041009276
Ridge,Patent,0.05989046276996957
Ridge,Patent_application,0.016699099046525848
Ridge,Patent_infringement,0.014680893040897008
Ridge,Patent_office,-0.023721471746040973
Ridge,Research_&_Experimentation_Tax_Credit,0.02140925613397926
Ridge,Research_and_Development_Tax_Credit,-0.0001627850980983179
