,Country,Year,rd_expenditure,rd_expenditure_missing
99,CA,1981,0.008458530676261549,0
100,CA,1982,0.00908135530363039,0
101,CA,1983,0.0091264903889368,0
102,CA,1984,0.0098776195865978,0
103,CA,1985,0.0106044579724551,0
104,CA,1986,0.0110203329004644,0
105,CA,1987,0.0111748506263844,0
106,CA,1988,0.0115894158986872,0
107,CA,1989,0.0124923578977242,0
108,CA,1990,0.0129559148666005,0
109,CA,1991,0.0131371286722748,0
110,CA,1992,0.013580333284186499,0
111,CA,1993,0.0143445838768057,0
112,CA,1994,0.015458596692026299,0
113,CA,1995,0.0157352451332076,0
114,CA,1996,0.015623500210822601,0
115,CA,1997,0.016304135254305803,0
116,CA,1998,0.0176792243508043,0
117,CA,1999,0.0191237162207951,0
118,CA,2000,0.0217480514574105,0
119,CA,2001,0.0239740393131953,0
120,CA,2002,0.023836965626930703,0
121,CA,2003,0.024648739457124,0
122,CA,2004,0.0261651913298187,0
123,CA,2005,0.0269642357394488,0
124,CA,2006,0.0273547991210384,0
125,CA,2007,0.0276015845003174,0
126,CA,2008,0.0275691936338647,0
127,CA,2009,0.026802731425085703,0
128,CA,2010,0.0267182709812372,0
129,CA,2011,0.027247682765347298,0
130,CA,2012,0.0273727874650363,0
131,CA,2013,0.027007439245207997,0
132,CA,2014,0.0277919793024325,0
133,CA,2015,0.0270046979120185,0
134,CA,2016,0.0277556378583315,0
135,CA,2017,0.028228129675399397,0
136,CA,2018,0.0298951052866978,0
137,CA,2019,0.0306966255814402,0
138,CA,2020,0.031111028153458998,0
139,CA,2021,0.030477155395094598,0
140,CA,2022,0.0285643588273563,0
288,DE,1981,0.0454870740274098,0
289,DE,1982,0.04663002807771031,0
290,DE,1983,0.047146684080668896,0
291,DE,1984,0.0488656138742321,0
292,DE,1985,0.05323243026835601,0
293,DE,1986,0.055403548971978,0
294,DE,1987,0.0582546865040415,0
295,DE,1988,0.0604528993573188,0
296,DE,1989,0.062388076303566894,0
297,DE,1990,0.0631161509047095,0
298,DE,1991,0.06805491207666131,0
299,DE,1992,0.0660615808656682,0
300,DE,1993,0.06348602308337101,0
301,DE,1994,0.06265690255165049,0
302,DE,1995,0.0638906707338506,0
303,DE,1996,0.0646894584078844,0
304,DE,1997,0.06719087684449089,0
305,DE,1998,0.0694150771462019,0
306,DE,1999,0.07492698990065391,0
307,DE,2000,0.0791463463922691,0
308,DE,2001,0.08029533110406879,0
309,DE,2002,0.0811978617115378,0
310,DE,2003,0.08190003581680069,0
311,DE,2004,0.0815422693437592,0
312,DE,2005,0.08236625850245899,0
313,DE,2006,0.0865737963738294,0
314,DE,2007,0.0887238647937389,0
315,DE,2008,0.0952057370393764,0
316,DE,2009,0.09416332602889971,0
317,DE,2010,0.09765482032284639,0
318,DE,2011,0.104287330767315,0
319,DE,2012,0.107564732408329,0
320,DE,2013,0.10632326115924799,0
321,DE,2014,0.110276326391374,0
322,DE,2015,0.114097563573046,0
323,DE,2016,0.11690424078141401,0
324,DE,2017,0.124393853613863,0
325,DE,2018,0.12821182225802602,0
326,DE,2019,0.13196943394896998,0
327,DE,2020,0.125566643621924,0
328,DE,2021,0.12900531524060802,0
506,JP,1981,0.0551960801447655,0
507,JP,1982,0.0592893091263123,0
508,JP,1983,0.06467034801524321,0
509,JP,1984,0.0703188100705353,0
510,JP,1985,0.0786895769656827,0
511,JP,1986,0.0801368620875663,0
512,JP,1987,0.08588664200713719,0
513,JP,1988,0.092538223233375,0
514,JP,1989,0.101101330263179,0
515,JP,1990,0.109272576419762,0
516,JP,1991,0.111778573738083,0
517,JP,1992,0.11059153040348199,0
518,JP,1993,0.107773987631157,0
519,JP,1994,0.10664452340982,0
520,JP,1995,0.113506832537883,0
521,JP,1996,0.120718350539604,0
522,JP,1997,0.125534413115033,0
523,JP,1998,0.128752286705296,0
524,JP,1999,0.129196742819176,0
525,JP,2000,0.133313802786243,0
526,JP,2001,0.13687538278428302,0
527,JP,2002,0.13888376212065998,0
528,JP,2003,0.142350183210128,0
529,JP,2004,0.144881418819039,0
530,JP,2005,0.15489989733598802,0
531,JP,2006,0.161877319772383,0
532,JP,2007,0.167583607628083,0
533,JP,2008,0.16551515150013799,0
534,JP,2009,0.15152427680706898,0
535,JP,2010,0.15324492626293199,0
536,JP,2011,0.158238562709329,0
537,JP,2012,0.15882947359039398,0
538,JP,2013,0.167387098458661,0
539,JP,2014,0.172435579472777,0
540,JP,2015,0.168514031992379,0
541,JP,2016,0.16276126018587403,0
542,JP,2017,0.16866818635248704,0
543,JP,2018,0.172586210937616,0
544,JP,2019,0.171840935909874,0
545,JP,2020,0.167081614070721,0
546,JP,2021,0.17206248877654504,0
547,KR,1991,0.0100618091073376,0
548,KR,1992,0.0112003541821844,0
549,KR,1993,0.0130003140503865,0
550,KR,1994,0.0154221098840886,0
551,KR,1995,0.017231458818423,0
552,KR,1996,0.019071197468841,0
553,KR,1997,0.020541594302264703,0
554,KR,1998,0.0182914068341339,0
555,KR,1999,0.0194750212628184,0
556,KR,2000,0.022393690517151402,0
557,KR,2001,0.0251757472279375,0
558,KR,2002,0.026276718222568,0
559,KR,2003,0.027956708369799098,0
560,KR,2004,0.0315395465831742,0
561,KR,2005,0.0339863407990567,0
562,KR,2006,0.038561103148946105,0
563,KR,2007,0.0430965419963392,0
564,KR,2008,0.046192275264336294,0
565,KR,2009,0.04901674427356881,0
566,KR,2010,0.0551654623892361,0
567,KR,2011,0.061963402098787805,0
568,KR,2012,0.068017046926153,0
569,KR,2013,0.072007189139609,0
570,KR,2014,0.07669470866396881,0
571,KR,2015,0.07692204037023,0
572,KR,2016,0.07936474712718039,0
573,KR,2017,0.088135828288658,0
574,KR,2018,0.0954376659429012,0
575,KR,2019,0.09997092084671899,0
576,KR,2020,0.10288045893911,0
577,KR,2021,0.110148077363916,0
893,CH,1981,0.00572726928740908,0
894,CH,1983,0.00573121219095456,0
895,CH,1986,0.00791465680733543,0
896,CH,1989,0.00860632732329001,0
897,CH,1992,0.008380537042048792,0
898,CH,1996,0.00880611038069753,0
899,CH,2000,0.00934104918810231,0
900,CH,2004,0.0112148288997089,0
901,CH,2008,0.013032204584981302,0
902,CH,2012,0.0146731326896591,0
903,CH,2015,0.016639893423523802,0
