Country,Year,GERD,NN_LagRD,NN_Macros,NN_AGT,NN_MGT,NN_AGTwRD,NN_MGTwRD,NN_AllVar,RW1,RW2,RW3,AR1,AR2,AR3,HistMean,UMIDAS,MIDAS
CA,2019,30.6966255814402,27.30011150666597,28.687729801382257,29.050907077444695,28.784905864130156,28.922836282219162,28.755967177683758,29.068097377637898,29.8951052866978,28.2281296753994,27.7556378583315,29.715868513977487,28.415517047836552,28.21083121514817,27.43196441608548,27.075111558172605,27.001354094259476
CA,2020,31.111028153459,27.31106185284965,27.495688050475906,28.877018202148605,28.835239365127304,28.70862775723653,28.74945086701904,28.89589307934405,30.6966255814402,29.8951052866978,28.2281296753994,30.37746077790229,29.56751784582714,28.486678456431676,27.43196441608548,25.82893259622306,26.429270452961212
CA,2021,30.4771553950946,27.32572416512258,26.98232165766382,28.71694132035475,28.86719412724764,28.48934383223695,28.69527930899774,28.47771131281526,31.111028153459,30.6966255814402,29.8951052866978,30.71837806100525,30.114366661693307,29.444617440986214,27.43196441608548,27.775546861081,27.54170894650126
CA,2022,28.5643588273563,27.32081728240843,28.489064922486033,29.072688002746165,28.8220944746375,28.73623535326124,28.769107756128065,29.11900814974328,30.4771553950946,31.111028153459,30.6966255814402,30.19659656293627,30.395375043022117,29.897144048217005,27.43196441608548,28.34152978033888,26.753640523601522
CH,2019,18.5729256553376,16.360133309072353,17.003616239053283,16.50004034604521,15.737429716513644,16.119025052128215,15.496282234972789,16.180746910131454,17.1948756219555,17.1948756219555,16.6398934235238,18.039405180159235,18.688313659103194,18.931157143095337,14.55098704396572,14.020555420351977,13.762708904397604
CN,2016,399.39015510339397,652.4689246853762,327.92909813067376,282.78784013393357,258.5803440843187,294.3420887510433,288.7226341517559,286.4220272809476,366.08093214709305,336.250720890688,309.205058612812,403.5122089185783,410.12456518670217,418.670008481827,205.47092168652114,76.45859320770097,98.63569542539321
CN,2017,430.32970332941403,873.3850675829038,329.54097821287206,258.1293702747618,231.66018246122266,284.32832308391477,271.36619236745275,287.2389118689033,399.39015510339397,366.08093214709305,336.250720890688,438.0263777641624,442.2857446220589,449.11315259077406,205.47092168652114,123.30586840942465,116.25102286332348
CN,2018,464.70523869315895,1161.718362191004,332.35326880264495,268.25799040710734,236.2652131975082,319.86335133949166,297.1732850279544,309.01189238954026,430.32970332941403,399.39015510339397,366.08093214709305,469.93662459208826,477.85390304726906,482.2319035877678,205.47092168652114,97.76261029074674,103.29572412475942
DE,2019,131.96943394897,116.83740754680963,118.01883838948434,120.11378931858685,118.56419890984864,120.33441552660379,119.56395710022359,121.21542182324818,128.21182225802602,124.39385361386299,116.904240781414,132.294670660167,132.45758087167724,128.5235713144557,102.55261355716827,100.40706640619962,101.57602212803258
DE,2020,125.566643621924,118.24189814547759,120.09869824599888,122.3666358894558,121.13297735986602,122.90034504792584,122.08452458527027,123.5966251659007,131.96943394897,128.21182225802602,124.39385361386299,136.15652923654403,136.490768504706,136.65818686246098,102.55261355716827,94.46424037997211,102.83911362096644
DE,2021,129.005315240608,117.11939091709498,115.15795827266821,119.47527469989001,120.33019226692056,120.48536956087118,120.56728300116275,122.30973473345047,125.566643621924,131.96943394897,128.21182225802602,129.5758419463953,140.45927945459147,140.80272843888997,102.55261355716827,116.42036372927447,107.97442007252565
GB,2018,79.8627681757809,50.69412770121815,51.71426914126729,65.96668882396247,65.9813727095793,66.58706440762582,66.2710227364326,65.49801165565198,67.444899012621,65.503087410017,62.9728145001246,70.12036038100575,70.82950979845872,70.88820710576755,47.24709924424305,49.46621985179456,50.565360803141154
GB,2019,79.96404528048039,51.83225021200912,51.765213682983365,67.06311472006267,67.31065656050286,67.91100442928074,67.28949743097817,66.30607723217109,79.8627681757809,67.444899012621,65.503087410017,82.75437012738767,72.8460063507347,73.56811022748687,47.24709924424305,44.49325782825332,44.51731485852186
GB,2020,78.153305627187,51.85109072147523,56.699973038696974,61.24885315024823,63.570343898764314,61.45811458690417,62.919585074684214,63.430573501405426,79.96404528048039,79.8627681757809,67.444899012621,82.85724183164614,85.6905001608699,75.6206685340385,47.24709924424305,39.943360832282124,43.60625472758731
JP,2019,171.84093590987402,166.3063984334368,165.82330772497366,173.7864202100227,173.08857747842896,174.11543715103525,173.5461188568454,175.13137297496993,172.58621093761602,168.66818635248703,162.76126018587402,169.15239903042,166.27255741501196,164.94868304025812,161.9298001216766,156.60998293255406,157.4794202386603
JP,2020,167.081614070721,161.4113137242653,166.28396159513196,175.4534286438886,173.90017363590687,176.42284680947228,174.76454917612207,176.2272375937797,171.84093590987402,172.58621093761602,168.66818635248703,168.76371944259077,167.35497448166151,165.83430423207568,161.9298001216766,152.22656878422262,154.87560162965636
JP,2021,172.06248877654502,157.79882558155197,159.85722878495002,173.95030080558521,172.6091778756854,174.99474811049922,173.39804958097008,174.89334974778967,167.081614070721,171.84093590987402,172.58621093761602,166.26275588994946,167.15044813097995,166.40729945357728,161.9298001216766,156.64797948366092,156.55592970562066
KR,2019,99.97092084671901,83.07544501196307,87.12298025916107,78.38217991650968,76.33064365917683,77.1614493158266,77.16892635165985,78.47049316224222,95.4376659429012,88.135828288658,79.3647471271804,100.72325609538264,98.63638053968171,94.91848217261652,61.073376200809705,67.3148483245101,63.71066178745372
KR,2020,102.88045893911,85.10586036892613,83.89677995873119,78.57611139685781,75.1014637959654,76.88541993893406,76.5720301733093,76.94801735114358,99.97092084671901,95.4376659429012,88.135828288658,105.2786198641875,106.03367708009014,103.93859527735894,61.073376200809705,57.031432038167246,60.23219052431427
KR,2021,110.148077363916,86.49480944638634,88.43850396703607,77.06660624157377,72.23982598719651,74.88158481160542,74.11537537542603,75.7061381456699,102.88045893911,99.97092084671901,95.4376659429012,108.19722820648988,110.59995681621689,111.35591918092304,61.073376200809705,53.25135105751688,56.989213069130635
US,2019,631.845452979094,585.9474296755452,515.2958171429668,547.0737689007561,543.7329172228102,553.2300015897187,548.5401095793851,549.8945182439613,586.427345752008,549.63096952664,528.1717009030571,609.9805258782814,593.0864298002473,590.9096780635465,464.84502586216183,470.00364274074803,475.04316482130923
US,2020,671.963268047983,624.9842372011731,521.9849426234587,528.4543815007493,536.6841500734032,536.5869188840041,544.9743160875016,546.5316897205595,631.845452979094,586.427345752008,549.63096952664,658.6421362190817,635.2026453413825,617.1085413135838,464.84502586216183,443.91572030879036,462.3063976344822
US,2021,709.712900312341,671.4915543291416,493.00457515627335,531.1436634709072,538.9157118092343,538.4604967793913,546.3917488889991,545.2683876301536,671.963268047983,631.845452979094,586.427345752008,701.7094567826048,687.4004680239236,662.2431892506055,464.84502586216183,460.20717244584534,474.2495159031676
