Model,topic,elasticity
OLS,Budget,-0.003708867001820422
OLS,Business,0.0019450992498407855
OLS,Business_loan,0.0724913040427153
OLS,Business_model,-0.014253225573209688
OLS,Capitalization,0.00615267545974386
OLS,Career,0.005146775328668778
OLS,Collaboration,0.006199657924263208
OLS,Cost,-0.0031852201616579244
OLS,Credit,0.013362726873275048
OLS,Data,0.001818032411670988
OLS,Disease,0.0012477887750779622
OLS,Economy,-0.0020945130086362537
OLS,Education,0.0012226542264240985
OLS,Employment,0.01634663316061458
OLS,Energy,0.001356882371849229
OLS,Entrepreneurship,0.0020670399746266365
OLS,Expense,-0.00038676608450170184
OLS,Health,-0.012655940685257773
OLS,Income,-0.002130037673865053
OLS,Income_statement,0.0032046459341600066
OLS,Innovation,0.005009593939762293
OLS,Innovation_management,-0.014804169897410015
OLS,Invention,-0.0021826452729109586
OLS,Investment,-0.0005005106765013812
OLS,Investment_banking,-0.007490103668955839
OLS,Investment_fund,0.004083193484848852
OLS,Investment_management,-0.017208938577985212
OLS,Investor,-0.019443373826753863
OLS,Job,-0.015316952895110375
OLS,Laboratory,0.011879154977684324
OLS,Law,-0.02269745550312417
OLS,Law_firm,-0.011621093973313646
OLS,Loan,0.00044448009278218826
OLS,Manufacturing,0.0031084218214276326
OLS,Medicine,0.0005754228228637831
OLS,Patent,0.02076549960511278
OLS,Patent_application,0.01680379579302491
OLS,Patent_infringement,-0.034458580297707486
OLS,Patent_office,-0.001542585157708494
OLS,Research_&_Experimentation_Tax_Credit,-0.0068038481485157365
OLS,Research_and_Development_Tax_Credit,-0.0002169541808429474
OLS,Salary,0.0007628401527163192
OLS,Scholarship,0.02228955490846431
OLS,Semiconductor,0.0010640539932276801
OLS,Small_Business_Innovation_Research,-0.012161936540105852
OLS,Stock,-0.001360477386282981
OLS,Subsidy,0.013873741951503643
OLS,Sustainability,0.0041263944987229495
OLS,Tax,0.002618883253868692
OLS,Tax_credit,0.007546416629042454
OLS,Tax_deduction,-0.017266384903485962
OLS,Tax_incentive,0.006581518390504478
OLS,Tax_report,0.0014093117597101838
OLS,Technology,-0.0019179562913541068
OLS,Trademark,0.0080764469652025
OLS,Trademark_attorney,0.004628317101281044
OLS,Wage,-0.016504787658083508
Ridge,Budget,-0.0017071618645070942
Ridge,Business,0.00012373836969753154
Ridge,Business_loan,0.03752119228025296
Ridge,Business_model,-0.001595926615634416
Ridge,Capitalization,0.00332355105632825
Ridge,Career,0.0019271448256708232
Ridge,Collaboration,0.0011744164612832065
Ridge,Cost,-0.0005456570337097213
Ridge,Credit,0.0036708490771824296
Ridge,Data,0.003152332029402321
Ridge,Disease,0.005680359242999557
Ridge,Economy,-0.0034593073905522785
Ridge,Education,-0.007947171819666058
Ridge,Employment,0.003888829609312385
Ridge,Energy,0.0007265012685937609
Ridge,Entrepreneurship,0.003934268279061213
Ridge,Expense,0.0005544393256338934
Ridge,Health,-0.0006925999743681178
Ridge,Income,-0.00011257629176832594
Ridge,Income_statement,0.0008361449141407196
Ridge,Innovation,0.0055502625648416815
Ridge,Innovation_management,0.00730827108584204
Ridge,Invention,0.0029821416462312636
Ridge,Investment,-0.0016790824612612516
Ridge,Investment_banking,-0.004662733205755804
Ridge,Investment_fund,-0.003911939751538647
Ridge,Investment_management,-0.006158850580528113
Ridge,Investor,-0.007554935712196735
Ridge,Job,-0.011869937440218074
Ridge,Laboratory,0.009477532687866103
Ridge,Law,-0.006132574951016272
Ridge,Law_firm,-0.009347230010796508
Ridge,Loan,0.0001073446327976849
Ridge,Manufacturing,0.0005401389952935891
Ridge,Medicine,0.00017096049382457246
Ridge,Patent,0.008906682308812516
Ridge,Patent_application,0.0066211605705018784
Ridge,Patent_infringement,0.009105545258682667
Ridge,Patent_office,-5.381553987157609e-05
Ridge,Research_&_Experimentation_Tax_Credit,0.015906705994292888
Ridge,Research_and_Development_Tax_Credit,-6.581413188946858e-06
Ridge,Salary,-0.0007841457353279499
Ridge,Scholarship,0.00971686156200025
Ridge,Semiconductor,0.0005294029008667545
Ridge,Small_Business_Innovation_Research,0.00014305968245052238
Ridge,Stock,-0.0010086647482433456
Ridge,Subsidy,0.02300122349604929
Ridge,Sustainability,-0.002007805209431235
Ridge,Tax,0.0014970705500216988
Ridge,Tax_credit,0.009233250722679972
Ridge,Tax_deduction,-0.006843029167562145
Ridge,Tax_incentive,0.004645730757724877
Ridge,Tax_report,-0.004895809616872085
Ridge,Technology,-0.0011165254725056814
Ridge,Trademark,0.0005048110433730186
Ridge,Trademark_attorney,0.016751933675458134
Ridge,Wage,-0.008645430355072111
Elastic Net,Budget,-0.0032213473769083117
Elastic Net,Business,0.004942952268798491
Elastic Net,Business_loan,0.026912976431406815
Elastic Net,Business_model,-0.004614575936410557
Elastic Net,Capitalization,0.00605312018235619
Elastic Net,Career,0.006265659860341275
Elastic Net,Collaboration,3.0688357703261103e-15
Elastic Net,Cost,-0.0037916187788416995
Elastic Net,Credit,0.002711935848911898
Elastic Net,Data,0.006425747743512139
Elastic Net,Disease,0.01368980932647335
Elastic Net,Economy,-0.003786565600938936
Elastic Net,Education,-0.001784449292063097
Elastic Net,Employment,0.0016202345556772847
Elastic Net,Energy,0.0024932653294549322
Elastic Net,Entrepreneurship,0.002533253555872347
Elastic Net,Expense,-0.00044842033434339227
Elastic Net,Health,-0.0014479397643917733
Elastic Net,Income,3.0688357703261103e-15
Elastic Net,Income_statement,0.001613842137727489
Elastic Net,Innovation,3.0688357703261103e-15
Elastic Net,Innovation_management,0.02635100663348358
Elastic Net,Invention,0.0015042398611059356
Elastic Net,Investment,-0.0019272970317958727
Elastic Net,Investment_banking,-0.005437243847603795
Elastic Net,Investment_fund,0.001916246525682043
Elastic Net,Investment_management,-0.008000924563213444
Elastic Net,Investor,-0.014799149814477221
