Year,Quarter,quarter_date,NN,Ridge_signed,Ridge_positive,Mosley,Sax,quarter_label
2004,1,2004-01-01,86.62525540138193,86.91130361931627,96.18999743175628,91.6690934365637,86.8199801047799,2004Q1
2004,2,2004-04-01,88.34219295995928,87.66512544413527,90.63906617746494,97.09035288915861,96.9505043416209,2004Q2
2004,3,2004-07-01,108.15730037197814,107.57445225652253,98.50126028846864,95.9543227521244,96.1889248978962,2004Q3
2004,4,2004-10-01,91.77227899065568,92.74614640400091,89.56670382628512,90.18325864612831,94.9376183796779,2004Q4
2005,1,2005-01-01,105.36357871581738,100.98377115397156,107.00433130220563,100.991658378045,95.6050171370552,2005Q1
2005,2,2005-04-01,101.91040576657527,100.51939955940371,99.3722295038351,96.7216126233115,102.4347765861458,2005Q2
2005,3,2005-07-01,96.8556242750975,99.99515035760344,95.7607488849307,99.22085922477831,97.8752563898467,2005Q3
2005,4,2005-10-01,86.17688154691086,88.80816923342238,88.16918061342959,93.3723600782664,94.39144019135321,2005Q4
2006,1,2006-01-01,99.74578266611766,98.59001483633548,108.22479753002355,108.4467670129037,107.36377865877759,2006Q1
2006,2,2006-04-01,100.39453653379125,98.96757498069877,101.51824722035315,104.3436785180136,100.59266657327419,2006Q2
2006,3,2006-07-01,110.58343038553159,112.00117168927406,101.60935643324461,95.5716379742217,103.54215760538821,2006Q3
2006,4,2006-10-01,97.4233826890216,98.5883707681538,96.7947310908408,99.7850487693229,96.64852943702189,2006Q4
2007,1,2007-01-01,101.73176407986249,100.56397934149541,109.44309012081546,108.4142726601651,108.0747882938563,2007Q1
2007,2,2007-04-01,116.19709543568015,110.94609045542549,110.70767182147165,107.9895721598044,109.2464917304979,2007Q2
2007,3,2007-07-01,111.09737469404021,112.2185548387371,105.87482905106222,108.0069728841386,108.3619563580267,2007Q3
2007,4,2007-10-01,98.72846935575916,104.02607892968402,101.7291125719927,103.3438858612339,102.0714671829611,2007Q4
2008,1,2008-01-01,122.62456488333474,120.69231659778488,123.43025885263937,113.0622706238587,113.2242212317435,2008Q1
2008,2,2008-04-01,112.42859520852473,116.94560365424641,115.17190258811831,114.2743470108194,114.0577320594879,2008Q2
2008,3,2008-07-01,112.73704590059944,111.43597065073263,108.52172170349115,110.27134903068969,111.9008691052438,2008Q3
2008,4,2008-10-01,101.72024278987816,100.43655787957313,102.38656563808826,111.9024821169693,110.3276263858618,2008Q4
