topic,elasticity
Budget,-8.770268785847342e-05
Business,0.0013609791014470164
Business_loan,0.052517113234283895
Business_model,-0.014775824486641442
Capitalization,0.004546699468527507
Career,0.006988112761949733
Collaboration,0.0022792913320268567
Cost,0.0007808037515402516
Credit,0.0019448113078250537
Data,0.010269038003232726
Disease,0.005034389185919094
Economy,-0.007223823645735916
Education,-0.017427971596808436
Employment,0.003323734835696186
Energy,0.004559824738352263
Entrepreneurship,0.0008724578949557256
Expense,-0.0013709416240309605
Health,0.012916624025656022
Income,-0.0004217104141524167
Income_statement,0.0022916855981478606
Innovation,0.009829017167311799
Innovation_management,0.008762522657689583
Invention,0.009097365951230231
Investment,-0.006419716603946381
Investment_banking,0.0001215819862694853
Investment_fund,-0.006722091686116541
Investment_management,-0.009283936911100866
Investor,-0.007586706332727222
Job,-0.0051891145481304905
Laboratory,0.006311724954455848
Law,0.000909994281501981
Law_firm,-0.014863578335441283
Loan,-0.0003445091196056824
Manufacturing,0.0039213916162354236
Medicine,-0.003121002259937619
Patent,0.011469626848606243
Patent_application,0.0025957757618924357
Patent_infringement,-0.012487377692612107
Patent_office,-0.001484845497063197
Research_&_Experimentation_Tax_Credit,0.03597966989291601
Research_and_Development_Tax_Credit,0.0008798279739274632
Salary,0.0007761297371093795
Scholarship,0.009846270479864402
Semiconductor,0.0017134564138362497
Small_Business_Innovation_Research,0.01311773146870874
Stock,8.590732263926811e-06
Subsidy,0.0265536502755712
Sustainability,-0.0022880537674719354
Tax,0.0016176150597092983
Tax_credit,0.012360014516902239
Tax_deduction,-0.008408025240386129
Tax_incentive,0.0030279299279075363
Tax_report,-0.004026228521616874
Technology,-0.002051871521505368
Trademark,-0.003466820889658681
Trademark_attorney,0.054226976430160556
Wage,-0.01136173995955409
