topic,elasticity
Budget,-0.0008600108946587698
Business,-0.0007416207569235666
Business_loan,0.028573346800570748
Business_model,0.003184628522004785
Capitalization,0.0026880355049009007
Career,-0.0044961366103709426
Collaboration,-0.0001482203914219784
Cost,-0.0010066464970075962
Credit,0.0028284524712375975
Data,-0.00018939868229480967
Disease,0.0015366296370981347
Economy,-0.002142651071654447
Education,-0.008048608697276064
Employment,0.003432948316195046
Energy,0.0001163932365078622
Entrepreneurship,0.0018499627371473554
Expense,-0.00024288635672494114
Health,0.010973806711565767
Income,-0.0008734309765354682
Income_statement,0.0030590458949928344
Innovation,0.002236364933622009
Innovation_management,0.007703066810535682
Invention,0.0018074821736224803
Investment,-0.001449905659551419
Investment_banking,-0.0008180127726413284
Investment_fund,-0.003300836096812637
Investment_management,-0.0021185046022560244
Investor,-0.0007679470975262243
Job,0.0005390317736996227
Laboratory,-0.0020284391181407788
Law,0.001235709044678507
Law_firm,-0.005222119252773525
Loan,-0.00022783454743431985
Manufacturing,-0.0022919780406694397
Medicine,-0.0012289845462741297
Patent,-0.0006952392954218217
Patent_application,0.005872048889562445
Patent_infringement,0.01463105142044506
Patent_office,-0.0006546827259260676
Research_&_Experimentation_Tax_Credit,0.0302167604618902
Research_and_Development_Tax_Credit,-0.0007246465676929841
Salary,-0.0004993315642737507
Scholarship,-0.0009079724353133864
Semiconductor,-0.00021574952768494286
Small_Business_Innovation_Research,0.017234132849309254
Stock,-0.0018617044512226316
Subsidy,0.02747178809939349
Sustainability,-0.0035187428714930267
Tax,0.0014306502412249824
Tax_credit,0.009846127142157423
Tax_deduction,-0.0014814730280668187
Tax_incentive,0.0011937213988139662
Tax_report,-0.0018264931979608521
Technology,-0.0003201991785236955
Trademark,-0.0017410819648895775
Trademark_attorney,0.029384765458360804
Wage,0.003468129068619419
